model,scope,scope_value,observation_count,pass_count,pass_rate,median_ttft_ms,median_total_ms,median_tokens_per_second
gemma3:270m,overall,all,200,78,0.39,50.455279531888664,514.3269980326295,54.06744115921124
gemma3:270m,capability_family,json_format,25,21,0.84,,,
gemma3:270m,capability_family,key_value_labels,25,0,0.0,,,
gemma3:270m,capability_family,markdown_bullets,25,0,0.0,,,
gemma3:270m,capability_family,priority,25,7,0.28,,,
gemma3:270m,capability_family,sentiment,25,10,0.4,,,
gemma3:270m,capability_family,structured_extraction,50,40,0.8,,,
gemma3:270m,capability_family,transformation,25,0,0.0,,,
gemma3:1b,overall,all,200,99,0.495,180.16985361464322,1896.9699419103563,15.69456267815157
gemma3:1b,capability_family,json_format,25,23,0.92,,,
gemma3:1b,capability_family,key_value_labels,25,3,0.12,,,
gemma3:1b,capability_family,markdown_bullets,25,4,0.16,,,
gemma3:1b,capability_family,priority,25,12,0.48,,,
gemma3:1b,capability_family,sentiment,25,25,1.0,,,
gemma3:1b,capability_family,structured_extraction,50,29,0.58,,,
gemma3:1b,capability_family,transformation,25,3,0.12,,,
gemma3:4b,overall,all,200,158,0.79,500.17762754578143,4287.655644933693,6.590298811863455
gemma3:4b,capability_family,json_format,25,20,0.8,,,
gemma3:4b,capability_family,key_value_labels,25,25,1.0,,,
gemma3:4b,capability_family,markdown_bullets,25,23,0.92,,,
gemma3:4b,capability_family,priority,25,15,0.6,,,
gemma3:4b,capability_family,sentiment,25,25,1.0,,,
gemma3:4b,capability_family,structured_extraction,50,40,0.8,,,
gemma3:4b,capability_family,transformation,25,10,0.4,,,
