policy,interpretation,remote_success_rate_assumption,observations,local_calls,remote_calls,local_passes,missed_escalations,unnecessary_escalations,expected_remote_passes,expected_total_passes,expected_success_rate,observed_local_work_ms,remote_call_rate
always_local,strict,0.8,150,150,0,66,84,0,0.0,66.0,0.44,62310.67772838287,0.0
always_local,strict,0.9,150,150,0,66,84,0,0.0,66.0,0.44,62310.67772838287,0.0
always_local,strict,0.95,150,150,0,66,84,0,0.0,66.0,0.44,62310.67772838287,0.0
always_local,strict,1.0,150,150,0,66,84,0,0.0,66.0,0.44,62310.67772838287,0.0
always_remote,strict,0.8,150,0,150,0,0,66,120.0,120.0,0.8,0,1.0
always_remote,strict,0.9,150,0,150,0,0,66,135.0,135.0,0.9,0,1.0
always_remote,strict,0.95,150,0,150,0,0,66,142.5,142.5,0.95,0,1.0
always_remote,strict,1.0,150,0,150,0,0,66,150.0,150.0,1.0,0,1.0
coarse_class,strict,0.8,150,75,75,51,24,15,60.0,111.0,0.74,36849.33539107442,0.5
coarse_class,strict,0.9,150,75,75,51,24,15,67.5,118.5,0.79,36849.33539107442,0.5
coarse_class,strict,0.95,150,75,75,51,24,15,71.25,122.25,0.815,36849.33539107442,0.5
coarse_class,strict,1.0,150,75,75,51,24,15,75.0,126.0,0.84,36849.33539107442,0.5
fine_capability,strict,0.8,150,75,75,65,10,1,60.0,125.0,0.8333333333333334,44895.72777133435,0.5
fine_capability,strict,0.9,150,75,75,65,10,1,67.5,132.5,0.8833333333333333,44895.72777133435,0.5
fine_capability,strict,0.95,150,75,75,65,10,1,71.25,136.25,0.9083333333333333,44895.72777133435,0.5
fine_capability,strict,1.0,150,75,75,65,10,1,75.0,140.0,0.9333333333333333,44895.72777133435,0.5
always_local,audited,0.8,150,150,0,71,79,0,0.0,71.0,0.47333333333333333,62310.67772838287,0.0
always_local,audited,0.9,150,150,0,71,79,0,0.0,71.0,0.47333333333333333,62310.67772838287,0.0
always_local,audited,0.95,150,150,0,71,79,0,0.0,71.0,0.47333333333333333,62310.67772838287,0.0
always_local,audited,1.0,150,150,0,71,79,0,0.0,71.0,0.47333333333333333,62310.67772838287,0.0
always_remote,audited,0.8,150,0,150,0,0,71,120.0,120.0,0.8,0,1.0
always_remote,audited,0.9,150,0,150,0,0,71,135.0,135.0,0.9,0,1.0
always_remote,audited,0.95,150,0,150,0,0,71,142.5,142.5,0.95,0,1.0
always_remote,audited,1.0,150,0,150,0,0,71,150.0,150.0,1.0,0,1.0
coarse_class,audited,0.8,150,75,75,56,19,15,60.0,116.0,0.7733333333333333,36849.33539107442,0.5
coarse_class,audited,0.9,150,75,75,56,19,15,67.5,123.5,0.8233333333333334,36849.33539107442,0.5
coarse_class,audited,0.95,150,75,75,56,19,15,71.25,127.25,0.8483333333333334,36849.33539107442,0.5
coarse_class,audited,1.0,150,75,75,56,19,15,75.0,131.0,0.8733333333333333,36849.33539107442,0.5
fine_capability,audited,0.8,150,75,75,70,5,1,60.0,130.0,0.8666666666666667,44895.72777133435,0.5
fine_capability,audited,0.9,150,75,75,70,5,1,67.5,137.5,0.9166666666666666,44895.72777133435,0.5
fine_capability,audited,0.95,150,75,75,70,5,1,71.25,141.25,0.9416666666666667,44895.72777133435,0.5
fine_capability,audited,1.0,150,75,75,70,5,1,75.0,145.0,0.9666666666666667,44895.72777133435,0.5
