plan_sha256,contract_file_sha256,benchmark_sha256,evidence_sha256_270m,evidence_sha256_1b,evidence_sha256_4b,implementation_git_revision,scope,group,model,metric,value
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,observation_count,600
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,oracle_correct_count,335
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,oracle_incorrect_count,265
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,contract_accept_count,396
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,contract_reject_count,204
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,false_accept_count_before_replay,240
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,false_accept_caught_count,167
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,false_accept_remaining_count,73
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,newly_admitted_incorrect_count,0
ac7cb2ee4b47ee07c4a0a63b122d56ce47d49dffb88ff82e19fd9a32d638edf0,ea585eaf7775426ca9d58e8b8276a7bc18d7789545f84bb370aae6ac4ce6a1f0,6e255b2d44599f49a1cda82f989b110a015c16c55da54ea6501f4b8cb18fa295,425fa9328781ff2e53f69ce0a054531e106be3a6ed1380c148e35ec3d47c8ca0,a3bde560ccf875658f9129c3eaa321b51c6c29f3f5a7096d9a97eca070310622,c0576396252f39523840ca1d970648a84ec03960ca746451a10c0ef83b6cb676,c1fb5e0010e46c5a0ef0bf17ea2635da36f30426,overall,overall,overall,counterfactual_false_accept_count,73
